State,County,Facility,Authorizing.Agent,Known.Capacity,Population.Prior.to.Releases,Total.Releases,Reason,Detail,Probation/Parole.Tech.Violation ,Minor.Offenses,On.Bail.Inability.to.Pay,Short.Time.Left.on.Sentence,Vulnerable.Populations,Other,Date,Legal.Filing,Source,Perma.Links,Notes
Alabama,Autauga,County-wide,Court/Sheriff,,167,7,Releases only,Yes - See columns J-O,,x,,,,,3/17/20,,https://www.montgomeryadvertiser.com/story/news/crime/2020/03/18/county-jail-inmates-ordered-released-autauga-elmore-chilton-counties/2871087001/,https://perma.cc/3YNH-AM22,Misdemeanor charges
Alabama,Mobile,Mobile Metro Jail,Governor,,"1,580",480,Mix,Yes - See columns J-O,,x,,,x,x,4/13/20,,https://www.al.com/news/2020/04/amid-covid-19-pandemic-mobile-metro-jail-releases-a-third-of-inmates.html,https://perma.cc/R39T-5ACT,"other including those on low bonds who were moved ""quickly through the system"" vulnerable = ""sickly"" and those over 55. "
Alabama,Morgan,Morgan County Jail,,,640,107,Releases only,Yes - See columns J-O,,x,,,x,,4/19/20,,https://hartselleenquirer.com/2020/04/19/morgan-jail-releases-nonviolent-inmates-to-protect-against-covid-19/,https://perma.cc/BZU9-P3XX,"A spokesman for the Morgan County Sheriff’s Office stated, “Any inmates we have looked at releasing have been nonviolent,” such as child support, failure-to-appear and failure-to-pay cases. Also, they are considering inmates that have medical issues. "
Arizona,Cococino,County-wide,Court,,550,50,Releases only,Yes - See columns J-O,,x,,,,,3/19/20,,https://azdailysun.com/news/local/coconino-county-jail-releases-nonviolent-inmates-in-light-of-coronavirus/article_a6046904-18ff-532a-9dba-54a58862c50b.html,https://perma.cc/4P3S-8GSH,"No final guidance to say whether officers will cite and release any or all non-violent offenders at this time, but officers currently are able to make that choice under current police regulations in instances of non-violent, misdemeanor crimes. Any person who commits a violent or felony crime will require being put in jail."
Arizona,Coconino County,Coconino County Detention Facility,,,470,235,Mix,No,,,,,,,5/6/20,,https://az-coconinocounty2.civicplus.com/CivicAlerts.aspx?AID=2164,https://perma.cc/M6EW-XWXW,"Numbers given are estimates: press release says they have reduced population by 50%, with a current population of 235"
Arizona,Gila County,County-wide,,220,176,88,Mix,Yes - See columns J-O,, ,,,,x,4/3/20,,https://www.paysonroundup.com/covid-19/jail-population-reduced-to-avert-covid-19-spread/article_23a75c16-31c8-575c-8f4e-b9645fe7af6e.html,https://perma.cc/QEV7-CHZK,"Numbers are estimates. Sheriff say half released and now housing 88.  ""low-risk and non-violent people fuloughed"
Arizona,Maricopa,County-wide,,,"7,500","2,200",Mix,Yes - See columns J-O,,x,,,,,4/24/20,,https://www.azfamily.com/news/continuing_coverage/coronavirus_coverage/maricopa-county-attorneys-office-releases-charging-data-during-covid-19/article_088d69b6-88f3-11ea-b2e7-9fb8bf2b0957.html,https://perma.cc/FRS9-MBH4,"56 of the 2200 were released on bond with ""low level offense"". Not clear from article what other strategies were"
Arizona,Pima County,County-wide,Court,2300,,27,Releases only,Yes - See columns J-O,,x,,,,,3/30/20,Yes,https://tucson.com/news/local/pima-county-jail-releases-inmates-will-transfer-some-to-pinal-county-to-reduce-population/article_9f4fab49-ef59-58da-a8f0-538d4fb3e75a.html,https://perma.cc/KE6C-TGMV,"Judge issued an order to remove bail conditions for 27 inmates who were in jail awaiting trial for victimless crimes (ex. personal-use drugs possession, property cases like repetitive retail theft, etc.) "
Arizona,Pima County,Pima County ADC,,,"2,200",900,Mix,Yes - See columns J-O,,,,,,x,5/4/20; 3/27/20,,"https://www.kold.com/2020/05/04/hundreds-prisoners-released-early-due-covid-concerns/
https://kvoa.com/news/2020/03/27/pima-county-jail-inmates-released-to-keep-correctional-officers-inmates-safe-from-covid-19/",https://perma.cc/9LGW-SJJ7,May article itself doesn't reference releases (only population reductions ) but headline does; March article discusses release of being held on non-violent charges
Arkansas,Craighead,Craighead County Jail,,,,15,Releases only,Yes - See columns J-O,,x,,,,,3/20/20,,https://www.nwaonline.com/news/2020/mar/23/prisons-jails-take-steps-to-protect-inm/,https://perma.cc/XNQ8-YK5X,"""Craighead County sheriff's office said Friday that it has released about 15 offenders held on misdemeanor charges, freeing up a 20-bed barracks in the event that some inmates need to be quarantined."""
Arkansas,Pulaski,Pulaski County jail,Courts,,,26,Releases only,Yes - See columns J-O,,x,,,,,3/23/20,,https://www.nwaonline.com/news/2020/mar/23/prisons-jails-take-steps-to-protect-inm/,https://perma.cc/PS4K-KLBZ,"""The Pulaski County jail in Little Rock has released 26 offenders since March 13 -- none of whom faced violent felony charges -- with the permission of local judges, a spokesman said."""
Arkansas,Washington,Washington County Jail,,710,408,25,Releases only,Yes - See columns J-O,x,,,,,,4/10/20,,https://www.arkansasonline.com/news/2020/apr/11/washington-county-reduces-jail-populati/,https://perma.cc/393B-DWY8,Releasing inmates who were serving 90-day terms for parole violations. 
