State,Suspended.visitations,Explicitly.allows.Lawyer.Access,Compensatory.Remote.Access.Phone,Compensatory.Remote.Access.Video,Effective.Date,Length,Source, Perma.Links ,Notes
Alabama,X,,x,,3/13/20,30 days,https://www.waaytv.com/content/coronavirus-content/Alabama-Department-of-Corrections-suspends-visitation-inmate-passes-amid-Covid-19-concerns-568786481.html; http://www.doc.state.al.us/NewsRelease?article=ADOC+PUBLIC+ANNOUNCEMENT%3a+COVID-19 ,https://perma.cc/5E84-P9SX ,"also suspended volunteer entry, medical co-pays; 3/18: announced compensatory free 15 min phone call once per week "
Alaska,X,,X,,3/13/20,,https://doc.alaska.gov/covid-19,https://perma.cc/A4FJ-KLN8,2 free 15-minute calls/week (effective 3/19/2020). 
Arizona,X,,X,,3/13/20,30 days,https://corrections.az.gov/sites/default/files/notifications/new-actions-to-mitigate-covid-19-risk.pdf https://corrections.az.gov/sites/default/files/notifications/adcrr_covid-19_management_strategy_update_3-18-2020.pdf ,https://perma.cc/MF7F-AXCT ; https://perma.cc/GB7Y-MZUM                ,"2 x 15 min. calls/wk in addition to normal phone call policies/written letter policies. However, all legal and non-legal visitation is suspended (as of 3/18)"
Arkansas,X,,X,X,3/16/20,21 days,https://adc.arkansas.gov/images/uploads/COVID_News_Release_-_Inmate_Visitation_Suspension_ADC-3-16-2020.pdf ,https://perma.cc/2BLL-ABZA,"Price of phone calls reduced; no connect fee on telephone calls: 15 cents per minute (Div. of Correction & Div. of Community Correction facilities). Video visitation: $2.50 for 30-min visit (state prisons); 15 cents/min for video visits at community correction centers. Rates take effect 03/20/20 (until further notice). Marshall Project: ""Legal visits may be granted on a case-by-case basis."""
California,X,X,X,,3/14/20,,https://www.cdcr.ca.gov/covid19/,https://perma.cc/QW44-4BUK," Beginning March 27, staff and visitors entering CDCR state prisons and community correctional facilities will undergo an additional touchless temperature screening before entering the facility in addition to the ongoing verbal symptom screening put in place on March 14th. Any non-CDCR/CCHCS/CALPIA staff are not permitted to enter until further notice.  CDCR is limiting transfers of incarcerated people between CDCR facilities and has suspended large-scale construction projects within the perimeter of facilities. CDCR is tracking cases of individuals tested, confirmed, recovered and deceased from COVID-19 via a web tracker."
Colorado,X,X,,,3/11/20,30 days,https://www.colorado.gov/pacific/cdoc/news/3-11-2020-operational-changes-colorado-department-corrections-facilities-prevention-covid-19 ; https://twitter.com/alex_burness/status/1237908732438351873?s=21,https://perma.cc/9RVW-SKGG ; https://perma.cc/NH3M-M7A8,"Volunteer services suspended, public tours and family reunification postponed, inter-facility travel limited, compromised parolees not required to come into parole office"
Connecticut,X,,X,,3/13/20,,https://portal.ct.gov/-/media/DOC/Pdf/Coronavirus-3-20/Press-Release-Changes-due-to-Coronavirus-threat-3132020.pdf?la=en,https://perma.cc/T3LC-X8VZ,2 calls per week (Securus)
D.C.,X,,,,3/14/20,,https://doc.dc.gov/service/online-scheduling-video-visitationscheduling-face-face-visitation,https://perma.cc/S54Q-EK5M,"Programming/volunteer activities also suspended; ""department will provide video visitation"""
Delaware,X,X,X,,3/12/20,"""until DOC implements enhanced screening measures""",https://doc.delaware.gov/assets/documents/newsroom/2020/20press0311.pdf,https://perma.cc/WN4R-CXW5,"2 free five-minute phone calls per week (effective 3/16/2020), https://doc.delaware.gov/assets/documents/newsroom/2020/20press0316.pdf "
Federal (BOP),X,,X,X,3/13/20,30 days,https://www.bop.gov/resources/news/20200313_covid-19.jsp,https://perma.cc/6NJR-JZSC,"Legal visits suspended subject to case-by-case accommodation, telphone minutes per month increased to 500, facility transfers suspended (since publicly critcized for not actually following this -- https://papost.org/2020/03/23/federal-government-said-it-halted-prison-transfers-theyre-still-happening/), volunteers and tours suspended for 30 days"
