date,state,name,dataQualityGrade,death,deathConfirmed,deathIncrease,deathProbable,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCumulative,inIcuCurrently,negative,negativeIncrease,negativeTestsAntibody,negativeTestsPeopleAntibody,negativeTestsViral,onVentilatorCumulative,onVentilatorCurrently,positive,positiveCasesViral,positiveIncrease,positiveScore,positiveTestsAntibody,positiveTestsAntigen,positiveTestsPeopleAntibody,positiveTestsPeopleAntigen,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease
12/2/20,AK,Alaska,A,122,122,0,,768,768,164,19,,,992112,5318,,,984058,,23,32531,,697,0,,,,,39543,7165,,0,1024643,6015,,,,,,0,1024643,6015
12/2/20,AL,Alabama,A,3711,3326,73,385,25821,25821,1801,211,2252,,1390351,6546,,,,1298,,256828,213172,3928,0,,,,,,168387,,0,1603523,9681,,,73187,,1603523,9681,,0
12/2/20,AR,Arkansas,A+,2522,2312,10,210,9110,9110,1088,89,,393,1562561,10306,,,1562561,1002,186,161521,140705,2212,0,,3300,,25241,,142600,,0,1703266,11813,,21856,,144866,,0,1703266,11813
12/2/20,AS,#N/A,D,0,,0,,,,,0,,,1988,0,,,,,,0,0,0,0,,,,,,,,0,1988,0,,,,,,0,1988,0
12/2/20,AZ,Arizona,A+,6739,6237,52,502,26312,26312,2699,240,,642,1957887,12811,,,,,386,340979,330317,3840,0,,,,,,53694,,0,3914647,54038,365871,,,,2288204,16290,3914647,54038
12/2/20,CA,California,B,19324,,113,,,,9365,0,,2121,23053178,117054,,,,,,1245948,1245948,20759,0,,,,,,,,0,24299126,137813,,,,,,0,24299126,137813
12/2/20,CO,Colorado,A,3193,2700,84,493,14363,14363,1995,247,,,1548678,7534,191093,,,,,241172,230705,3862,0,17594,,,,,12996,3288900,33359,3288900,33359,208687,,,,1779383,11285,,0
12/2/20,CT,Connecticut,C,5091,4088,51,1003,12257,12257,1202,0,,,3206014,38558,,,,,,121426,113468,2672,0,,,,,,9800,,0,3327440,41230,,49816,,,,0,3319482,41001
12/2/20,DC,#N/A,A+,690,,5,,,,165,0,,41,679643,3919,,,,,18,21842,,157,0,,,,,,16070,701485,4076,701485,4076,,,,,308164,828,,0
12/2/20,DE,Delaware,A+,779,685,2,94,,,273,0,,34,391835,928,,,,,,36698,35300,355,0,,,,,37254,17907,748039,3851,748039,3851,,,,,428533,1283,,0
12/2/20,FL,Florida,A,19012,,96,,56269,56269,4248,377,,,6336387,40478,578113,560932,9890498,,,1001800,910755,9890,0,71851,,69600,,1299132,,12615881,98399,12615881,98399,650372,,630838,,7338187,50368,11242214,89561
12/2/20,GA,Georgia,A+,9567,8830,52,737,35326,35326,2644,263,6569,,3933984,19946,,,,,,428980,428980,4051,0,36263,,,53159,402092,,,0,4362964,23997,365326,,,,,0,4362964,23997
12/2/20,GU,#N/A,B,112,,0,,,,38,0,,10,78566,417,,,,,7,6920,6782,31,0,12,127,,,,6005,,0,85486,448,226,1972,,,,0,85348,442
12/2/20,HI,Hawaii,B,244,,0,,1291,1291,54,3,,19,295153,0,,,,,15,18342,18044,76,0,,,,,18036,11958,677445,4281,677445,4281,,,,,308090,0,,0
12/2/20,IA,Iowa,A+,2449,,18,,,,1162,0,,226,872256,2662,,71511,,,131,205773,205773,2375,0,,,4961,29027,,142246,,0,1078029,5037,,,76512,144130,1080193,5062,,0
12/2/20,ID,Idaho,A,960,881,31,79,4135,4135,446,86,769,110,389829,1424,,,,,,103305,87419,1607,0,,,,,,41354,,0,477248,2572,,31219,,,477248,2572,720635,3657
12/2/20,IL,Illinois,A,13397,12639,266,758,,,5764,0,,1190,9950983,75750,,,,,714,748603,447491,9757,0,,,,,,,,0,10699586,85507,,,,,,0,10699586,85507
12/2/20,IN,Indiana,A+,5973,5688,109,285,26854,26854,3441,430,4867,1001,1881132,8247,,,,,407,350970,,6597,0,,,,,320141,208176,,0,4342486,46499,,,,,2232102,14844,4342486,46499
12/2/20,KS,Kansas,A+,1679,,119,,5290,5290,1196,185,1390,298,669121,3683,,,,409,125,162061,,4615,0,,,,,,3512,,0,831182,8298,,,,,831182,8298,,0
12/2/20,KY,Kentucky,B,1980,1909,37,71,10190,10190,1768,0,2482,427,2465549,8825,,,,,234,186765,154260,3597,0,,,,,,28486,,0,2619809,11557,95698,115488,,,,0,2619809,11557
12/2/20,LA,Louisiana,A,6501,6231,46,270,,,1288,0,,,3277164,60453,,,,,134,241335,227780,3595,0,,,,,,202891,,0,3518499,64048,,113951,,,,0,3504944,63823
12/2/20,MA,Massachusetts,A+,10824,10588,46,236,14139,14139,1259,0,,264,3161191,18695,,,,,126,234232,225787,5027,0,,,12130,,282607,155473,,0,8566262,105845,,,132492,270281,3386978,23308,8566262,105845
12/2/20,MD,Maryland,A,4715,4558,42,157,21395,21395,1578,189,,359,2168003,11427,,144346,,,,203355,203355,2220,0,,,15776,,243152,8648,,0,4496011,35566,,,160122,,2371358,13647,4496011,35566
12/2/20,ME,Maine,A+,218,216,4,2,725,725,138,16,,46,880133,10400,12381,,875702,,15,12208,10870,232,0,404,792,,,14758,9564,,0,892341,10632,12797,23993,,,,0,891003,10595
12/2/20,MI,Michigan,A+,9842,9405,83,437,,,4266,0,,837,6359136,38000,,,6359136,,509,402886,373197,7433,0,,,,,471922,165269,,0,6762022,45433,370666,,,,,0,6831058,43905
12/2/20,MN,Minnesota,A,3692,3613,77,79,17378,17378,1704,267,3873,354,2236442,12827,,,,,,327477,320301,5165,0,,,,,,286219,4218617,38689,4218617,38689,,107730,,,2556743,17740,,0
12/2/20,MO,Missouri,A+,4043,,37,,,,2651,0,,670,1520005,3109,87140,71709,2759392,,354,305370,305370,2679,0,8325,19631,3618,,338277,,,0,3103739,14639,95670,130416,90517,76621,1825375,5788,3103739,14639
12/2/20,MP,#N/A,D,2,2,0,,4,4,,0,,,17010,0,,,,,,106,106,0,0,,,,,,29,,0,17116,0,,,,,17116,0,23944,0
12/2/20,MS,Mississippi,A+,3851,3346,15,505,7486,7486,1135,0,,264,982395,0,,,,,138,156868,123746,2457,0,95,,,,,128746,,0,1139263,2457,51554,210647,,,,0,1104632,0
12/2/20,MT,Montana,A,713,,15,,2733,2733,478,53,,90,599241,1551,,,,,45,64340,64340,1135,0,,,,,,47533,,0,663581,2686,,,,,,-660895,663581,2686
12/2/20,NC,North Carolina,A+,5366,5192,82,174,,,2039,0,,508,5006410,29768,,,,,,371594,349280,4199,0,,,,,,315979,,0,5378004,33967,,124631,,,,0,5355690,33142
12/2/20,ND,North Dakota,B,972,,12,,2791,2791,316,40,435,38,271517,334,11048,,,,,81696,80081,551,0,1007,,,,,73933,1096339,5195,1096339,5195,12055,,,,351652,818,1153230,5643
12/2/20,NE,Nebraska,A,1080,,62,,4380,4380,869,64,,,618172,1855,,,1236550,,,130194,130194,1787,0,,,,,148080,64975,,0,1386201,15866,,,,,748721,3641,1386201,15866
12/2/20,NH,New Hampshire,B,537,,9,,842,842,162,1,279,,405484,3161,,,,,,22332,22332,566,0,,,,4212,,17101,,0,831649,6549,34261,,33348,,427816,3727,831649,6549
12/2/20,NJ,New Jersey,A,17145,15309,62,1836,41745,41745,3287,440,,599,5787381,38189,,,,,354,346206,346206,4296,0,,,,,,44380,,0,6133587,42485,,,,,,0,6133587,47091
12/2/20,NM,New Mexico,A,1629,,40,,7019,7019,940,121,,,1491259,10919,,,,,,100963,100963,1544,0,,,,,,34411,,0,1592222,12463,,,,,,0,1592222,12463
12/2/20,NV,Nevada,A,2201,,35,,,,1652,0,,352,834431,2542,,,,,202,156996,156996,2129,0,,,,,,,1664999,11141,1664999,11141,,,,,991427,4671,1154583,0
12/2/20,NY,New York,B,26889,,73,,89995,89995,3924,0,,742,19097486,184578,,,,,373,664238,664238,8973,0,,,,,,86201,19761724,193551,19761724,193551,,,,,,0,,0
12/2/20,OH,Ohio,A+,6671,6224,123,447,27885,27885,5208,436,4781,1222,5779816,26978,,,,,714,437928,414215,7835,0,,,,,,289768,,0,6217744,34813,,,,,,0,6194031,34413
12/2/20,OK,Oklahoma,A+,1812,,54,,12578,12578,1782,285,,475,1940738,17270,,,1940738,,,202341,202341,2859,0,6248,,,,206750,170905,,0,2143079,20129,97315,,,,,0,2151411,20663
12/2/20,OR,Oregon,A+,953,,17,,4745,4745,620,96,,113,1943782,18106,,,1909535,,56,78160,74629,1506,0,,,,,112130,5870,,0,2021665,19350,,,,,1043744,5148,2021665,19350
